"Domain","Name","SamAccountName","ObjectClass","MemberOf","UserRight","LastLogonDate","AccountStatus","SourceOfRight"
"testlab.corp,DC=local","TODD_BARRON","TODD_BARRON","user","PI-25dejunio-distlist1
DE-917266361-distlist1
EA-arw-distlist1
KA-mig-distlist1
JU-PIN-distlist1
SH-fuentesbl-distlist1
DO-camilitay-distlist1
OR-jmsr30097-distlist1
51-fjffhghhf-admingroup1
TI-teamojazm-admingroup1
Performance Log Users
","sebatchlogonright
","Never","Active","Performance Log Users
"
"testlab.corp.local","Pre-Windows 2000 Compatible Access","Pre-Windows 2000 Compatible Access","group","No Groups
","sechangenotifyprivilege
senetworklogonright
","Never","NA","self
"
"VDI.testlab.corp.local","Pre-Windows 2000 Compatible Access","Pre-Windows 2000 Compatible Access","group","No Groups
","sechangenotifyprivilege
senetworklogonright
","Never","NA","self
"
"testlab.corp,DC=local","DIEGO_GOODMAN","DIEGO_GOODMAN","user","JE-can-distlist1
NI-die-distlist1
JA-123-distlist1
MA-cri-distlist1
CH-240-admingroup1
66-fonseca17-distlist1
OR-jua-admingroup1
Pre-Windows 2000 Compatible Access
","sechangenotifyprivilege
senetworklogonright
","Never","Active","Pre-Windows 2000 Compatible Access

"
"testlab.corp.local","Account Operators","Account Operators","group","No Groups
","seinteractivelogonright
","Never","NA","self
"
"VDI.testlab.corp.local","Account Operators","Account Operators","group","No Groups
","seinteractivelogonright
","Never","NA","self
"
"testlab.corp,DC=local","ELNORA_CRUZ","ELNORA_CRUZ","user","66-fonseca17-distlist1
DO-esc-admingroup1
FR-_C3A0C3A7-distlist1
RE-202-distlist1
Account Operators
","seinteractivelogonright
","Never","Active","Account Operators
"
"testlab.corp.local","Print Operators","Print Operators","group","No Groups
","seinteractivelogonright
seloaddriverprivilege
seshutdownprivilege
","Never","NA","self
"
"VDI.testlab.corp.local","Print Operators","Print Operators","group","No Groups
","seinteractivelogonright
seloaddriverprivilege
seshutdownprivilege
","Never","NA","self
"
"testlab.corp,DC=local","CAMERON_NGUYEN","CAMERON_NGUYEN","user","NO-bon-admingroup1
CA-indiferen-distlist1
MO-gui-distlist1
AN-chi-distlist1
JA-cam-distlist1
DA-thy-distlist1
Print Operators
","seinteractivelogonright
seloaddriverprivilege
seshutdownprivilege
","Never","Active","Print Operators

"
"testlab.corp,DC=local","LIDIA_SAVAGE","LIDIA_SAVAGE","user","KE-14a-distlist1
LE-karajo200-distlist1
DE-ama-admingroup1
ME-aza-distlist1
DO-esc-admingroup1
TA-37malena7-distlist1
Print Operators
","seinteractivelogonright
seloaddriverprivilege
seshutdownprivilege
","Never","Active","Print Operators

"
